,City,Cause_Category,Cause_Subcategory,Incident_Outcome,Accident_Count
0,Agra,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0.0
1,Agra,Traffic Control,Flashing Signal/Blinker,Minor Injury,0.0
2,Agra,Traffic Control,Flashing Signal/Blinker,Persons Killed,0.0
3,Agra,Traffic Control,Flashing Signal/Blinker,Total Injured,0.0
4,Agra,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0.0
5,Agra,Traffic Control,Others,Greviously Injured,175.0
6,Agra,Traffic Control,Others,Minor Injury,91.0
7,Agra,Traffic Control,Others,Persons Killed,373.0
8,Agra,Traffic Control,Others,Total Injured,266.0
9,Agra,Traffic Control,Others,Total number of Accidents,470.0
10,Agra,Traffic Control,Police Controlled,Greviously Injured,0.0
11,Agra,Traffic Control,Police Controlled,Minor Injury,0.0
12,Agra,Traffic Control,Police Controlled,Persons Killed,0.0
13,Agra,Traffic Control,Police Controlled,Total Injured,0.0
14,Agra,Traffic Control,Police Controlled,Total number of Accidents,0.0
15,Agra,Traffic Control,Stop Sign,Greviously Injured,0.0
16,Agra,Traffic Control,Stop Sign,Minor Injury,0.0
17,Agra,Traffic Control,Stop Sign,Persons Killed,0.0
18,Agra,Traffic Control,Stop Sign,Total Injured,0.0
19,Agra,Traffic Control,Stop Sign,Total number of Accidents,0.0
20,Agra,Traffic Control,Traffic Light Signal,Greviously Injured,30.0
21,Agra,Traffic Control,Traffic Light Signal,Minor Injury,37.0
22,Agra,Traffic Control,Traffic Light Signal,Persons Killed,18.0
23,Agra,Traffic Control,Traffic Light Signal,Total Injured,67.0
24,Agra,Traffic Control,Traffic Light Signal,Total number of Accidents,66.0
25,Agra,Traffic Control,Uncontrolled,Greviously Injured,172.0
26,Agra,Traffic Control,Uncontrolled,Minor Injury,128.0
27,Agra,Traffic Control,Uncontrolled,Persons Killed,123.0
28,Agra,Traffic Control,Uncontrolled,Total Injured,300.0
29,Agra,Traffic Control,Uncontrolled,Total number of Accidents,370.0
30,Ahmedabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,4.0
31,Ahmedabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,1.0
32,Ahmedabad,Traffic Control,Flashing Signal/Blinker,Persons Killed,3.0
33,Ahmedabad,Traffic Control,Flashing Signal/Blinker,Total Injured,5.0
34,Ahmedabad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,8.0
35,Ahmedabad,Traffic Control,Others,Greviously Injured,229.0
36,Ahmedabad,Traffic Control,Others,Minor Injury,122.0
37,Ahmedabad,Traffic Control,Others,Persons Killed,166.0
38,Ahmedabad,Traffic Control,Others,Total Injured,351.0
39,Ahmedabad,Traffic Control,Others,Total number of Accidents,642.0
40,Ahmedabad,Traffic Control,Police Controlled,Greviously Injured,11.0
41,Ahmedabad,Traffic Control,Police Controlled,Minor Injury,13.0
42,Ahmedabad,Traffic Control,Police Controlled,Persons Killed,13.0
43,Ahmedabad,Traffic Control,Police Controlled,Total Injured,24.0
44,Ahmedabad,Traffic Control,Police Controlled,Total number of Accidents,35.0
45,Ahmedabad,Traffic Control,Stop Sign,Greviously Injured,3.0
46,Ahmedabad,Traffic Control,Stop Sign,Minor Injury,2.0
47,Ahmedabad,Traffic Control,Stop Sign,Persons Killed,3.0
48,Ahmedabad,Traffic Control,Stop Sign,Total Injured,5.0
49,Ahmedabad,Traffic Control,Stop Sign,Total number of Accidents,8.0
50,Ahmedabad,Traffic Control,Traffic Light Signal,Greviously Injured,41.0
51,Ahmedabad,Traffic Control,Traffic Light Signal,Minor Injury,9.0
52,Ahmedabad,Traffic Control,Traffic Light Signal,Persons Killed,14.0
53,Ahmedabad,Traffic Control,Traffic Light Signal,Total Injured,50.0
54,Ahmedabad,Traffic Control,Traffic Light Signal,Total number of Accidents,58.0
55,Ahmedabad,Traffic Control,Uncontrolled,Greviously Injured,188.0
56,Ahmedabad,Traffic Control,Uncontrolled,Minor Injury,163.0
57,Ahmedabad,Traffic Control,Uncontrolled,Persons Killed,141.0
58,Ahmedabad,Traffic Control,Uncontrolled,Total Injured,351.0
59,Ahmedabad,Traffic Control,Uncontrolled,Total number of Accidents,434.0
60,Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Greviously Injured,26.0
61,Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Minor Injury,49.0
62,Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Persons Killed,39.0
63,Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Total Injured,75.0
64,Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Total number of Accidents,104.0
65,Allahabad(Prayagraj),Traffic Control,Others,Greviously Injured,9.0
66,Allahabad(Prayagraj),Traffic Control,Others,Minor Injury,338.0
67,Allahabad(Prayagraj),Traffic Control,Others,Persons Killed,277.0
68,Allahabad(Prayagraj),Traffic Control,Others,Total Injured,347.0
69,Allahabad(Prayagraj),Traffic Control,Others,Total number of Accidents,577.0
70,Allahabad(Prayagraj),Traffic Control,Police Controlled,Greviously Injured,18.0
71,Allahabad(Prayagraj),Traffic Control,Police Controlled,Minor Injury,55.0
72,Allahabad(Prayagraj),Traffic Control,Police Controlled,Persons Killed,51.0
73,Allahabad(Prayagraj),Traffic Control,Police Controlled,Total Injured,73.0
74,Allahabad(Prayagraj),Traffic Control,Police Controlled,Total number of Accidents,101.0
75,Allahabad(Prayagraj),Traffic Control,Stop Sign,Greviously Injured,24.0
76,Allahabad(Prayagraj),Traffic Control,Stop Sign,Minor Injury,52.0
77,Allahabad(Prayagraj),Traffic Control,Stop Sign,Persons Killed,62.0
78,Allahabad(Prayagraj),Traffic Control,Stop Sign,Total Injured,76.0
79,Allahabad(Prayagraj),Traffic Control,Stop Sign,Total number of Accidents,127.0
80,Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Greviously Injured,22.0
81,Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Minor Injury,61.0
82,Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Persons Killed,45.0
83,Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Total Injured,83.0
84,Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Total number of Accidents,124.0
85,Allahabad(Prayagraj),Traffic Control,Uncontrolled,Greviously Injured,22.0
86,Allahabad(Prayagraj),Traffic Control,Uncontrolled,Minor Injury,56.0
87,Allahabad(Prayagraj),Traffic Control,Uncontrolled,Persons Killed,43.0
88,Allahabad(Prayagraj),Traffic Control,Uncontrolled,Total Injured,78.0
89,Allahabad(Prayagraj),Traffic Control,Uncontrolled,Total number of Accidents,119.0
90,Amritsar,Traffic Control,Flashing Signal/Blinker,Greviously Injured,5.0
91,Amritsar,Traffic Control,Flashing Signal/Blinker,Minor Injury,7.0
92,Amritsar,Traffic Control,Flashing Signal/Blinker,Persons Killed,13.0
93,Amritsar,Traffic Control,Flashing Signal/Blinker,Total Injured,12.0
94,Amritsar,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0.0
95,Amritsar,Traffic Control,Others,Greviously Injured,19.0
96,Amritsar,Traffic Control,Others,Minor Injury,8.0
97,Amritsar,Traffic Control,Others,Persons Killed,29.0
98,Amritsar,Traffic Control,Others,Total Injured,27.0
99,Amritsar,Traffic Control,Others,Total number of Accidents,44.0
100,Amritsar,Traffic Control,Police Controlled,Greviously Injured,0.0
101,Amritsar,Traffic Control,Police Controlled,Minor Injury,0.0
102,Amritsar,Traffic Control,Police Controlled,Persons Killed,2.0
103,Amritsar,Traffic Control,Police Controlled,Total Injured,0.0
104,Amritsar,Traffic Control,Police Controlled,Total number of Accidents,0.0
105,Amritsar,Traffic Control,Stop Sign,Greviously Injured,7.0
106,Amritsar,Traffic Control,Stop Sign,Minor Injury,1.0
107,Amritsar,Traffic Control,Stop Sign,Persons Killed,6.0
108,Amritsar,Traffic Control,Stop Sign,Total Injured,8.0
109,Amritsar,Traffic Control,Stop Sign,Total number of Accidents,0.0
110,Amritsar,Traffic Control,Traffic Light Signal,Greviously Injured,6.0
111,Amritsar,Traffic Control,Traffic Light Signal,Minor Injury,4.0
112,Amritsar,Traffic Control,Traffic Light Signal,Persons Killed,10.0
113,Amritsar,Traffic Control,Traffic Light Signal,Total Injured,10.0
114,Amritsar,Traffic Control,Traffic Light Signal,Total number of Accidents,1.0
115,Amritsar,Traffic Control,Uncontrolled,Greviously Injured,1.0
116,Amritsar,Traffic Control,Uncontrolled,Minor Injury,1.0
117,Amritsar,Traffic Control,Uncontrolled,Persons Killed,6.0
118,Amritsar,Traffic Control,Uncontrolled,Total Injured,2.0
119,Amritsar,Traffic Control,Uncontrolled,Total number of Accidents,55.0
120,Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0.0
121,Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Minor Injury,0.0
122,Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Persons Killed,0.0
123,Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Total Injured,0.0
124,Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0.0
125,Asansol Durgapur,Traffic Control,Others,Greviously Injured,183.0
126,Asansol Durgapur,Traffic Control,Others,Minor Injury,41.0
127,Asansol Durgapur,Traffic Control,Others,Persons Killed,299.0
128,Asansol Durgapur,Traffic Control,Others,Total Injured,224.0
129,Asansol Durgapur,Traffic Control,Others,Total number of Accidents,401.0
130,Asansol Durgapur,Traffic Control,Police Controlled,Greviously Injured,2.0
131,Asansol Durgapur,Traffic Control,Police Controlled,Minor Injury,0.0
132,Asansol Durgapur,Traffic Control,Police Controlled,Persons Killed,6.0
133,Asansol Durgapur,Traffic Control,Police Controlled,Total Injured,2.0
134,Asansol Durgapur,Traffic Control,Police Controlled,Total number of Accidents,7.0
135,Asansol Durgapur,Traffic Control,Stop Sign,Greviously Injured,1.0
136,Asansol Durgapur,Traffic Control,Stop Sign,Minor Injury,0.0
137,Asansol Durgapur,Traffic Control,Stop Sign,Persons Killed,1.0
138,Asansol Durgapur,Traffic Control,Stop Sign,Total Injured,1.0
139,Asansol Durgapur,Traffic Control,Stop Sign,Total number of Accidents,2.0
140,Asansol Durgapur,Traffic Control,Traffic Light Signal,Greviously Injured,0.0
141,Asansol Durgapur,Traffic Control,Traffic Light Signal,Minor Injury,0.0
142,Asansol Durgapur,Traffic Control,Traffic Light Signal,Persons Killed,1.0
143,Asansol Durgapur,Traffic Control,Traffic Light Signal,Total Injured,0.0
144,Asansol Durgapur,Traffic Control,Traffic Light Signal,Total number of Accidents,1.0
145,Asansol Durgapur,Traffic Control,Uncontrolled,Greviously Injured,17.0
146,Asansol Durgapur,Traffic Control,Uncontrolled,Minor Injury,2.0
147,Asansol Durgapur,Traffic Control,Uncontrolled,Persons Killed,8.0
148,Asansol Durgapur,Traffic Control,Uncontrolled,Total Injured,19.0
149,Asansol Durgapur,Traffic Control,Uncontrolled,Total number of Accidents,17.0
150,Aurangabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0.0
151,Aurangabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,0.0
152,Aurangabad,Traffic Control,Flashing Signal/Blinker,Persons Killed,0.0
153,Aurangabad,Traffic Control,Flashing Signal/Blinker,Total Injured,0.0
154,Aurangabad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0.0
155,Aurangabad,Traffic Control,Others,Greviously Injured,189.0
156,Aurangabad,Traffic Control,Others,Minor Injury,69.0
157,Aurangabad,Traffic Control,Others,Persons Killed,107.0
158,Aurangabad,Traffic Control,Others,Total Injured,258.0
159,Aurangabad,Traffic Control,Others,Total number of Accidents,345.0
160,Aurangabad,Traffic Control,Police Controlled,Greviously Injured,0.0
161,Aurangabad,Traffic Control,Police Controlled,Minor Injury,0.0
162,Aurangabad,Traffic Control,Police Controlled,Persons Killed,0.0
163,Aurangabad,Traffic Control,Police Controlled,Total Injured,0.0
164,Aurangabad,Traffic Control,Police Controlled,Total number of Accidents,0.0
165,Aurangabad,Traffic Control,Stop Sign,Greviously Injured,0.0
166,Aurangabad,Traffic Control,Stop Sign,Minor Injury,0.0
167,Aurangabad,Traffic Control,Stop Sign,Persons Killed,0.0
168,Aurangabad,Traffic Control,Stop Sign,Total Injured,0.0
169,Aurangabad,Traffic Control,Stop Sign,Total number of Accidents,0.0
170,Aurangabad,Traffic Control,Traffic Light Signal,Greviously Injured,0.0
171,Aurangabad,Traffic Control,Traffic Light Signal,Minor Injury,0.0
172,Aurangabad,Traffic Control,Traffic Light Signal,Persons Killed,0.0
173,Aurangabad,Traffic Control,Traffic Light Signal,Total Injured,0.0
174,Aurangabad,Traffic Control,Traffic Light Signal,Total number of Accidents,0.0
175,Aurangabad,Traffic Control,Uncontrolled,Greviously Injured,31.0
176,Aurangabad,Traffic Control,Uncontrolled,Minor Injury,4.0
177,Aurangabad,Traffic Control,Uncontrolled,Persons Killed,29.0
178,Aurangabad,Traffic Control,Uncontrolled,Total Injured,35.0
179,Aurangabad,Traffic Control,Uncontrolled,Total number of Accidents,61.0
180,Bengaluru,Traffic Control,Flashing Signal/Blinker,Greviously Injured,33.0
181,Bengaluru,Traffic Control,Flashing Signal/Blinker,Minor Injury,33.0
182,Bengaluru,Traffic Control,Flashing Signal/Blinker,Persons Killed,9.0
183,Bengaluru,Traffic Control,Flashing Signal/Blinker,Total Injured,66.0
184,Bengaluru,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,67.0
185,Bengaluru,Traffic Control,Others,Greviously Injured,1154.0
186,Bengaluru,Traffic Control,Others,Minor Injury,773.0
187,Bengaluru,Traffic Control,Others,Persons Killed,536.0
188,Bengaluru,Traffic Control,Others,Total Injured,1927.0
189,Bengaluru,Traffic Control,Others,Total number of Accidents,2316.0
190,Bengaluru,Traffic Control,Police Controlled,Greviously Injured,130.0
191,Bengaluru,Traffic Control,Police Controlled,Minor Injury,38.0
192,Bengaluru,Traffic Control,Police Controlled,Persons Killed,38.0
193,Bengaluru,Traffic Control,Police Controlled,Total Injured,168.0
194,Bengaluru,Traffic Control,Police Controlled,Total number of Accidents,220.0
195,Bengaluru,Traffic Control,Stop Sign,Greviously Injured,12.0
196,Bengaluru,Traffic Control,Stop Sign,Minor Injury,4.0
197,Bengaluru,Traffic Control,Stop Sign,Persons Killed,0.0
198,Bengaluru,Traffic Control,Stop Sign,Total Injured,16.0
199,Bengaluru,Traffic Control,Stop Sign,Total number of Accidents,16.0
200,Bengaluru,Traffic Control,Traffic Light Signal,Greviously Injured,180.0
201,Bengaluru,Traffic Control,Traffic Light Signal,Minor Injury,99.0
202,Bengaluru,Traffic Control,Traffic Light Signal,Persons Killed,32.0
203,Bengaluru,Traffic Control,Traffic Light Signal,Total Injured,279.0
204,Bengaluru,Traffic Control,Traffic Light Signal,Total number of Accidents,335.0
205,Bengaluru,Traffic Control,Uncontrolled,Greviously Injured,198.0
206,Bengaluru,Traffic Control,Uncontrolled,Minor Injury,97.0
207,Bengaluru,Traffic Control,Uncontrolled,Persons Killed,31.0
208,Bengaluru,Traffic Control,Uncontrolled,Total Injured,295.0
209,Bengaluru,Traffic Control,Uncontrolled,Total number of Accidents,279.0
210,Bhopal,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0.0
211,Bhopal,Traffic Control,Flashing Signal/Blinker,Minor Injury,19.0
212,Bhopal,Traffic Control,Flashing Signal/Blinker,Persons Killed,3.0
213,Bhopal,Traffic Control,Flashing Signal/Blinker,Total Injured,19.0
214,Bhopal,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,33.0
215,Bhopal,Traffic Control,Others,Greviously Injured,71.0
216,Bhopal,Traffic Control,Others,Minor Injury,753.0
217,Bhopal,Traffic Control,Others,Persons Killed,135.0
218,Bhopal,Traffic Control,Others,Total Injured,824.0
219,Bhopal,Traffic Control,Others,Total number of Accidents,1001.0
220,Bhopal,Traffic Control,Police Controlled,Greviously Injured,11.0
221,Bhopal,Traffic Control,Police Controlled,Minor Injury,45.0
222,Bhopal,Traffic Control,Police Controlled,Persons Killed,9.0
223,Bhopal,Traffic Control,Police Controlled,Total Injured,56.0
224,Bhopal,Traffic Control,Police Controlled,Total number of Accidents,101.0
225,Bhopal,Traffic Control,Stop Sign,Greviously Injured,30.0
226,Bhopal,Traffic Control,Stop Sign,Minor Injury,295.0
227,Bhopal,Traffic Control,Stop Sign,Persons Killed,26.0
228,Bhopal,Traffic Control,Stop Sign,Total Injured,325.0
229,Bhopal,Traffic Control,Stop Sign,Total number of Accidents,416.0
230,Bhopal,Traffic Control,Traffic Light Signal,Greviously Injured,21.0
231,Bhopal,Traffic Control,Traffic Light Signal,Minor Injury,103.0
232,Bhopal,Traffic Control,Traffic Light Signal,Persons Killed,18.0
233,Bhopal,Traffic Control,Traffic Light Signal,Total Injured,124.0
234,Bhopal,Traffic Control,Traffic Light Signal,Total number of Accidents,181.0
235,Bhopal,Traffic Control,Uncontrolled,Greviously Injured,53.0
236,Bhopal,Traffic Control,Uncontrolled,Minor Injury,406.0
237,Bhopal,Traffic Control,Uncontrolled,Persons Killed,46.0
238,Bhopal,Traffic Control,Uncontrolled,Total Injured,459.0
239,Bhopal,Traffic Control,Uncontrolled,Total number of Accidents,563.0
240,Chandigarh,Traffic Control,Flashing Signal/Blinker,Greviously Injured,4.0
241,Chandigarh,Traffic Control,Flashing Signal/Blinker,Minor Injury,15.0
242,Chandigarh,Traffic Control,Flashing Signal/Blinker,Persons Killed,5.0
243,Chandigarh,Traffic Control,Flashing Signal/Blinker,Total Injured,19.0
244,Chandigarh,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,15.0
245,Chandigarh,Traffic Control,Others,Greviously Injured,8.0
246,Chandigarh,Traffic Control,Others,Minor Injury,61.0
247,Chandigarh,Traffic Control,Others,Persons Killed,25.0
248,Chandigarh,Traffic Control,Others,Total Injured,69.0
249,Chandigarh,Traffic Control,Others,Total number of Accidents,77.0
250,Chandigarh,Traffic Control,Police Controlled,Greviously Injured,0.0
251,Chandigarh,Traffic Control,Police Controlled,Minor Injury,0.0
252,Chandigarh,Traffic Control,Police Controlled,Persons Killed,1.0
253,Chandigarh,Traffic Control,Police Controlled,Total Injured,0.0
254,Chandigarh,Traffic Control,Police Controlled,Total number of Accidents,1.0
255,Chandigarh,Traffic Control,Stop Sign,Greviously Injured,0.0
256,Chandigarh,Traffic Control,Stop Sign,Minor Injury,0.0
257,Chandigarh,Traffic Control,Stop Sign,Persons Killed,0.0
258,Chandigarh,Traffic Control,Stop Sign,Total Injured,0.0
259,Chandigarh,Traffic Control,Stop Sign,Total number of Accidents,0.0
260,Chandigarh,Traffic Control,Traffic Light Signal,Greviously Injured,0.0
261,Chandigarh,Traffic Control,Traffic Light Signal,Minor Injury,43.0
262,Chandigarh,Traffic Control,Traffic Light Signal,Persons Killed,17.0
263,Chandigarh,Traffic Control,Traffic Light Signal,Total Injured,43.0
264,Chandigarh,Traffic Control,Traffic Light Signal,Total number of Accidents,49.0
265,Chandigarh,Traffic Control,Uncontrolled,Greviously Injured,2.0
266,Chandigarh,Traffic Control,Uncontrolled,Minor Injury,15.0
267,Chandigarh,Traffic Control,Uncontrolled,Persons Killed,5.0
268,Chandigarh,Traffic Control,Uncontrolled,Total Injured,17.0
269,Chandigarh,Traffic Control,Uncontrolled,Total number of Accidents,17.0
270,Chennai,Traffic Control,Flashing Signal/Blinker,Greviously Injured,198.0
271,Chennai,Traffic Control,Flashing Signal/Blinker,Minor Injury,525.0
272,Chennai,Traffic Control,Flashing Signal/Blinker,Persons Killed,212.0
